loci,loci_ampl_rate_Total,loci_ampl_rate_Honduras,loci_ampl_rate_Guyana,loci_ampl_rate_Venezuela,loci_ampl_rate_Colombia,prop_poly_detected,n.all_col,na.e_col,Hexp_col,var.Hexp_col,Nei.var.Hexp_col,n.all_guy,na.e_guy,Hexp_guy,var.Hexp_guy,Nei.var.Hexp_guy,n.all_hon,na.e_hon,Hexp_hon,var.Hexp_hon,Nei.var.Hexp_hon,n.all_ven,na.e_ven,Hexp_ven,var.Hexp_ven,Nei.var.Hexp_ven,n.all_allpops,na.e_allpops,Hexp_allpops,var.Hexp_allpops,Nei.var.Hexp_allpops
PVP01_0103700_2,0.609958506224066,0.352941176470588,0.628472222222222,0.804347826086957,0.869565217391304,0.0303030303030303,5,4.22058823529412,0.763066202090592,0.00129996217754367,0.00123879615671821,5,3.28001387925052,0.695123241299059,0.000419695655607193,0.000413635148082935,4,2.92682926829268,0.658333333333333,0.0117528279622396,0.0103296339511871,5,4.24203821656051,0.764264264264264,0.000961149201348416,0.000909897271692876,5,3.91086673419187,0.744302205120616,0.00012464647417424,0.000123578843337587
SEC24B,0.514522821576763,0.274509803921569,0.506944444444444,0.760869565217391,0.847826086956522,0.025974025974026,4,2.45804195804196,0.593172119487909,0.00563650617253078,0.0053437513505503,8,4.84,0.793388429752066,0.000310257302866135,0.000305150273975299,4,3,0.666666666666667,0.00982010582010583,0.00855440329218107,5,4.13529411764706,0.758179231863442,0.000898102434733243,0.000851455840131448,9,5.38161693936477,0.814182240901368,0.000123689383149727,0.000122525254254383
MSP5,0.491701244813278,0.343137254901961,0.461805555555556,0.826086956521739,0.673913043478261,0.00432900432900433,4,2.0575221238938,0.513978494623656,0.00558509983990325,0.00523058257639222,6,4.01776198934281,0.751105216622458,0.000299506559915278,0.00029440866902038,3,2.66666666666667,0.625,0.00872955322265625,0.00767245888710022,5,3.41538461538462,0.707207207207207,0.00347042497156601,0.00328536943984628,7,3.84247753775569,0.739751243781094,0.000141267461752031,0.000139865311999239
PVP01_0602400,0.506224066390041,0.294117647058823,0.493055555555556,0.760869565217391,0.804347826086957,0.00865800865800866,5,4.46808510638298,0.776190476190476,0.00097175272715396,0.000918516273737346,7,3.92307692307692,0.745098039215686,0.000643951006328458,0.0006332632083762,3,2.16666666666667,0.538461538461538,0.013127543010925,0.0113191569839098,6,6.1340206185567,0.836974789915966,0.000645297512591045,0.00060895014249408,7,5.82938388625593,0.828455284552846,0.000128709979168529,0.000127457334754967
MSP1,0.265560165975104,0.0882352941176471,0.211805555555556,0.630434782608696,0.630434782608696,0.0173160173160173,4,3.625,0.724137931034483,0.00119795657726692,0.00111942386831276,6,3.02980132450331,0.669945355191257,0.00154139928364822,0.00149127584550755,3,5,0.8,0.02688,0.0172032,5,2.325,0.56989247311828,0.00634628203493239,0.00594344831575355,6,3.16495253164557,0.684039495063117,0.000599122354941217,0.000589724502885905
RIPR,0.599585062240664,0.343137254901961,0.611111111111111,0.847826086956522,0.847826086956522,0.0303030303030303,4,2.62820512820513,0.619512195121951,0.00159310937530223,0.00151634443812229,8,3.62825732899023,0.724385590842779,0.000835997977647086,0.00082356695403204,3,2.03389830508475,0.508333333333333,0.0159642537434896,0.0140310823917389,5,4.40677966101695,0.773076923076923,0.000547169471153846,0.000520152978515624,10,4.35849056603774,0.770562770562771,0.00014492792142137,0.000143675850212524
PVP01_0838300,0.83195020746888,0.480392156862745,0.920138888888889,0.956521739130435,0.934782608695652,0.125541125541126,4,3.63291139240506,0.724738675958188,0.00119170030081134,0.00113562823450333,5,2.62748181639473,0.619407451743229,0.000689414030425627,0.000681032174835607,5,2.93548387096774,0.659340659340659,0.0150486747737893,0.0129756430447469,3,2.35245901639344,0.574912891986063,0.0036775042489125,0.00350446975193986,5,2.92982005141388,0.658682109327016,0.000428933695489231,0.000425665641140113
ApiAP2_G5,0.479253112033195,0.205882352941177,0.475694444444444,0.782608695652174,0.804347826086957,0.00432900432900433,5,3.21621621621622,0.689075630252101,0.00323999454009009,0.0030574968884442,5,3.40049261083744,0.705924960162248,0.000682219624419474,0.000670705575888981,4,3.05555555555556,0.672727272727273,0.0151827681914425,0.0125477423069772,4,3.86503067484662,0.741269841269841,0.00122614193901917,0.00115896903958216,6,4.16753926701571,0.760050251256282,9.82076476130663e-05,9.72280263281258e-05
SLARP,0.632780082987552,0.401960784313726,0.638888888888889,0.826086956521739,0.91304347826087,0.00432900432900433,2,2.05555555555556,0.513513513513513,0.000355618776671408,0.000337148272342907,6,3.03973509933775,0.671023965141612,0.000705523192000373,0.00069518599557779,2,2,0.5,0.0054931640625,0.00482797622680664,5,2.69230769230769,0.628571428571429,0.00269530994839637,0.00254765022128515,6,3.31962397179788,0.698761061946903,0.000140231739802552,0.00013899349650529
FRM1_1,0.634854771784232,0.392156862745098,0.645833333333333,0.826086956521739,0.91304347826087,0.038961038961039,7,3.64485981308411,0.725641025641026,0.00338995993589744,0.0032225806640625,10,5.22783389450056,0.808716187204809,0.000492369180198984,0.000485207542061932,3,2.29166666666667,0.563636363636364,0.0179545609775785,0.0148384801467591,10,7.38738738738739,0.864634146341463,0.000597009908861071,0.000568242625923685,11,6.31953522149601,0.841760514824178,0.000142496523903895,0.000141254730051297
pvpi3k_7,0.365145228215768,0.303921568627451,0.298611111111111,0.608695652173913,0.673913043478261,0.00432900432900433,3,3.16326530612245,0.683870967741936,0.000689590829990038,0.00064581867532886,5,3.02392344497608,0.669303797468354,0.000628105066999603,0.000612500581741332,3,2.03389830508475,0.508333333333333,0.0159642537434896,0.0140310823917389,3,2.34782608695652,0.574074074074074,0.00616219418606444,0.00572989740005227,5,3.41390160183067,0.707080016757436,0.000232467879103593,0.00022947796964915
pvpi3k_13,0.244813278008299,0.147058823529412,0.173611111111111,0.58695652173913,0.565217391304348,0.00432900432900433,3,2.62096774193548,0.618461538461538,0.00240933710034931,0.00222756758538212,6,4.76113360323887,0.789965986394558,0.000745118085254497,0.00071501543874484,4,4,0.75,0.0125743026977595,0.00993525151427911,4,3.23076923076923,0.690476190476191,0.00198252588207294,0.00184344562248875,8,4.65269461077845,0.785070785070785,0.000488781289037855,0.000480092017078716
PVP01_1301600_1,0.79253112033195,0.558823529411765,0.836805555555556,0.91304347826087,0.91304347826087,0.125541125541126,4,2.25274725274725,0.55609756097561,0.00554391042047029,0.00527677374940658,4,2.27119796091759,0.559703725871615,0.000276852955520209,0.000273486993427142,3,2.92682926829268,0.658333333333333,0.00560048421223958,0.0049223005771637,3,2.28,0.56140350877193,0.00122105647183704,0.00115924098969934,4,2.55870506877422,0.609177309177309,0.000274470801463117,0.000272363547824664
PIGM,0.70746887966805,0.450980392156863,0.732638888888889,0.91304347826087,0.91304347826087,0.0735930735930736,4,3.69668246445497,0.729487179487179,0.00125273036858974,0.00119087680664062,4,3.6056245912361,0.722655541447488,0.000285087679390528,0.00028127384033918,3,2.72727272727273,0.633333333333333,0.00542805989583333,0.00477075576782227,4,3.87837837837838,0.742160278745645,0.000613439178163226,0.00058457554336303,4,3.84375,0.739837398373984,6.97460247059638e-05,6.91824227754282e-05
