Yi,Yj,khat,rhat
CON21-71-R1,CON21-71-R2,49.1064324137221,0.999999997936196
CON21-71-R1,CON21-75-R1,150898.013857491,0.760054973897947
CON21-71-R1,CON21-76-R1,49.1064324137221,0.999999997936196
CON21-71-R1,CON22-138-R1,49.1064324137221,0.999999997936196
CON21-71-R1,CON22-237-R1,49.1064324137221,0.999999997936196
CON21-71-R1,CON22-285-R1,49.1064324137221,0.999999997936196
CON21-71-R1,CON22-320-R1,49.1064324137221,0.999999997936196
CON21-71-R1,CON22-326-R1,49.1064324137221,0.999999997936196
CON21-71-R1,CON22-327-R1,49.1064324137221,0.999999997936196
CON21-71-R1,HRP0046-R1,1347.60941711937,0.563940406033816
CON21-71-R1,HRP0132-R1,4123.80132767874,0.54160962702457
CON21-71-R1,HRP0144-R1,201.696341309871,0.604037901037373
CON21-71-R1,HRP0148-R1,108827.52376658,0.565448162941166
CON21-71-R1,HRP0166-R1,4119.71316114607,0.524301384679063
CON21-71-R1,HRP0174-R1,4136.00619917732,0.58642465455494
CON21-71-R1,HRP0187-R1,121106.453798837,0.577491091068602
CON21-71-R1,SP0101254202-R1,66992.2475530654,0.510792788151952
CON21-71-R1,SP0101254202-R2,1494.31230406223,0.523907893336867
CON21-71-R1,SP0101254215-R1,10612.7769441694,0.539167765700026
CON21-71-R1,SP0101254215-R2,125256.572581088,0.540256842731979
CON21-71-R1,SP0101254260-R1,2321.13104095254,0.578134073608942
CON21-71-R1,SP0101254260-R2,1367.26660797056,0.50714369529514
CON21-71-R1,SP0101254266-R1,45363.5119593153,0.53077962752634
CON21-71-R1,SP0101254266-R2,88176.6287950536,0.526455485772752
CON21-71-R1,SP0101254283-R1,1995.24737435123,0.550003004660084
CON21-71-R1,SP0101254283-R2,8743.93011643983,0.542241171582514
CON21-71-R1,SP0101254289-R1,111058.855354511,0.503873394009778
CON21-71-R1,SP0101254289-R2,2618.15425682524,0.53737085098597
CON21-71-R1,SP0101254313-R1,128857.098979055,0.497151846279912
CON21-71-R1,SP0101254313-R2,8466.98667317823,0.502681038301929
CON21-71-R1,SP0101254334-R2,3175.59306555687,0.506975791824944
CON21-71-R1,SP0101254341-R1,15841.7835299514,0.514037340104631
