                           input filtered denoisedF denoisedR merged nonchim
G4G1370_S217                6904     6329      5500      5323   5152    5152
G4G2034_S104                1461     1361      1055      1047    982     982
G4G0539_S62                19975    19024     17757     18644  17501   17501
G4G2453_S111                3293     2971      2453      2328   2289    2289
HRP0357_S360              117505   108900    106601    105724  95417   95417
G4G2113_S215                1714     1487      1369      1203   1178    1178
SP0112286654_S331           4921     4644      4191      4354   4029    4029
G4G2516_S230               13238    12232     11729     11254  11015   11015
G4G2002_S31                 6431     6039      5510      5410   5257    5257
G4G1131_S153                2878     2559      2198      1360   1328    1328
G4G2545_S86                29502    26876     25118     25475  21454   21454
G4G1195_S139                5809     5508      4546      5337   4411    4411
SP0112286665_S312           9376     8664      8112      7893   7640    7640
G4G1062_S152                5963     5644      5260      5186   5003    5003
G4G0561_S17                 5366     4928      4443      4350   4219    4219
G7B0508_S169                  69       68        26        48     26      26
SP0112286661_S325              8        8         8         8      8       8
G4G2461_S23                 3984     3573      3251      2999   2919    2919
G9L0124_S385                2544     2304      2144      1694   1684    1684
G4G2136_S211                 448      398       296       217    171     171
G7B0419_S41                 1281     1095       871       776    734     734
G4G1983_S255                5551     5246      4931      4856   4773    4773
G9L0120_S397               15349    14418     13307     13094  11980   11980
G4G2123_S207                4549     4361      4005      3885   3645    3645
SP0112286616_S303          41501    39822     38998     38785  38323   38323
G4G0958_S272                1900     1745      1440      1381   1277    1277
G4G2079_S83                 6629     5699      4977      4857   4128    4128
SP0112286547_S293           8390     7793      7124      7352   6848    6848
G4G0567_S18                27083    25341     23382     23516  22493   22493
G4G1338_S37                17452    16033     14840     15274  14249   14249
G4G2357_S126                1435     1304      1061      1002    876     876
G4G2528_S132               15101    13684     12376     12300  11632   11632
SP0101254378_S319           3527     3172      2777      2893   2714    2714
G4G2346_S188               14779    12932     11866     11194  10225   10225
HRP0377_S337              125557   117614    111959    114380 107261  107107
Dd2-Control-Gates057_S155     17       17        17        17     17      17
G4G1220_S156               19270    17916     16560     17190  16023   16023
G4G2628_S286                8114     7147      6284      5854   5598    5598
SP0112286685_S307          20354    18421     16273     16253  15196   15196
G4G2128_S174                8394     7892      7147      7442   6707    6707
G4G0522_S134                3016     2799      2477      2452   2371    2371
G4G1908_S72                41559    39136     38042     36728  33437   33437
SP0112286928_S289           9969     9071      8365      8542   8164    8164
G4G0954_S253               33808    31932     31441     30968  28995   28995
SP0112286544_S304         100584    91017     86271     88297  83356   83356
G4G2532_S226                7194     6609      6332      6145   5569    5569
HRP0383_S343               41681    38097     37405     36858  34132   34132
G4G2594_S264                2913     2731      2363      2402   2248    2248
SP0112286669_S311           2408     2236      2061      1945   1927    1927
HRP0363_S366               39345    35807     34062     34620  33107   33107
G4G1056_S40                 8619     7790      6737      6521   6277    6277
G4G2539_S228                4950     3962      3585      2941   2828    2828
G4G1946_S7                  7858     7254      6655      6393   6301    6301
HRP0393_S353               20989    19340     18483     18738  17971   17971
HRP0373_S376               20888    19469     18882     18781  17678   17678
G4G2056_S76                 8786     7683      6886      6883   6587    6587
G4G2482_S279                5366     4957      4595      4527   4388    4388
G7B0852_S287                6044     5708      5116      5258   4818    4818
HRP0379_S339               93830    84086     76184     75146  70890   70881
G4G1992_S195               73209    67396     61993     65336  59845   59845
G4G2132_S275                7849     7090      6459      6272   6034    6034
G4G2349_S192                 440      302       133       150    111     111
G4G1399_S61                15410    14371     12340     13258  11356   11356
G4G2075_S79                 1191     1121       966       960    923     923
G4G2533_S227                7929     7225      6383      6091   5819    5819
HRP0353_S356               51534    48250     46278     46431  45175   45175
SP0112286594_S316         107244    99161     94186     97024  91177   91177
G4G1944_S63                13958    12942     12104     12380  11581   11581
G4G2331_S142               14901    13858     12321     13004  11381   11381
G4G2370_S183               30945    28121     26516     26678  25070   25070
G4G1938_S8                  7118     6600      6284      6100   5453    5453
G4G2428_S281                7298     6590      5933      5588   4633    4633
G7B0512_S170                9656     7723      4446      5451   4150    4150
SP0112286517_S298          37323    33318     31212     31736  29562   29562
G4G2000_S38                35664    33452     31279     30523  29850   29850
HRP0378_S338               68707    60835     57030     55042  54336   54336
G4G2332_S186                4068     3575      3108      3092   3018    3018
G4G1016_S243               16929    16717     16333     16188  16108   16108
G4G2378_S185                1154     1004       761       784    733     733
G4G2549_S87                18452    16234     15157     15695  14664   14664
G4G1176_S140                5607     5234      5000      4916   4842    4842
SP0112286514_S297          12580    11230      9790     10616   9509    9509
G4G1343_S258                 875      782       572       595    530     530
G4G1969_S24                17257    15832     13681     15187  12969   12969
G4G0952_S150                6646     6136      5620      5488   5383    5383
SP0112286647_S328          54284    50755     48378     49630  47236   47236
G4G2076_S80                12620    11025     10593      9692   9527    9527
G4G2139_S208               73413    68763     65041     66549  62121   62121
HRP0386_S346               34887    32532     30906     31496  29994   29994
G4G2063_S73                21214    18690     13602     17791  12695   12695
G4G1151_S99                 5960     5634      4988      5169   4856    4856
SP0112286683_S308          13333    12486     11319     12059  10968   10968
G4G2623_S232                 147      113        61         4      4       4
HRP0367_S370              128837   118602    115458    114551 111910  111910
G4G2138_S173                1559     1427      1118      1085   1028    1028
G4G1357_S39                 6538     6253      6035      5855   5804    5804
G4G1996_S196              136682   115890    114277    109342 108439  108439
G4G2390_S180               45764    42700     41447     40418  39569   39569
G9L0034_S93                10602     9335      8938      8033   7807    7807
G4G1327_S35                 1232     1047       861       612    609     609
G4G1331_S238               10084     9109      7790      8198   6783    6783
G4G2096_S12                 8215     7263      5971      6816   5566    5566
SP0112286650_S326         206479   192695    185031    189059 179644  179644
G4G0551_S19                 1643     1490      1254      1151   1078    1078
SP0112286682_S309          24217    22094     19970     19603  18070   18066
G4G1369_S237                6222     5647      4866      4753   4591    4591
HRP0387_S347                2853     2051      1959       908    899     899
G4G1956_S9                 18985    17699     16099     16038  15492   15492
G4G2526_S203              116441   107276    103831    105005  98925   98925
G4G2109_S209                9379     8488      7488      7536   7183    7183
G7B0268_S117                  71       60        51         1      0       0
HRP0352_S355               28722    26813     25404     25343  24736   24736
HRP0388_S348               69983    60606     56675     55135  54127   54127
G4G2005_S30                 4562     4299      3819      3712   3231    3231
HRP0302_S382               56378    52983     50391     50763  46432   46432
G4G2157_S1                 15548    14118     12992     12481  11373   11373
HRP0372_S375               99421    83401     79839     74945  73790   73790
HRP0375_S379               64035    58736     55689     55345  53811   53811
G4G2484_S224               14933    13462     12357     11758  11336   11336
G4G1965_S26                 9810     9048      8066      8394   7493    7493
G4G2527_S202              120851   110792    105888    108163 101889  101889
G4G1051_S235                1293     1178       994       897    895     895
HRP0389_S349                4538     4135      3674      3734   3558    3558
HRP0362_S365               55601    53033     51663     52063  50232   50232
SP0112286543_S290          76941    70571     67694     66887  65339   65339
G4G2066_S78                 1096     1008       827       760    723     723
SP0112286641_S323          63120    59311     56641     57009  55204   55204
G4G2379_S182               31738    28897     27037     27552  25177   25177
G7B0480_S115               13369    12552     11534     11388  10906   10906
G4G0544_S13                 3730     3472      3188      3064   2921    2921
G4G0555_S97                 2410     2312      2159      2129   2111    2111
G4G2405_S282                 302      270       178       160    152     152
G4G1354_S257                1168     1052       829       902    804     804
G4G2177_S121                8186     7531      6772      6656   6462    6462
G4G1057_S198                6165     5741      5134      5157   4932    4932
SP0112286689_S306           7527     7021      6507      6611   6222    6222
G7B0481_S114                1703     1571      1310      1256   1192    1192
G9L0108_S394                5278     5050      4644      4688   4545    4545
G4G2518_S229               70869    64919     61994     62019  58715   58715
G4G2025_S161                2704     2373      1946      1950   1802    1802
G4G1918_S46                  599      549       380       354    335     335
G4G1954_S10                 2382     2258      1861      1914   1637    1637
G4G2457_S112                1614     1448      1110      1008    979     979
G4G1192_S137               20695    19568     17948     18256  17342   17342
G4G2317_S204                2287     2147      1929      1957   1890    1890
G4G1130_S21                29912    27335     25947     26392  24494   24494
HRP0365_S368               32179    28171     25848     27298  24986   24986
SP0112286681_S310          19759    17902     17068     16810  16495   16495
SP0112286511_S296           8914     7941      7195      7145   6796    6796
G4G1346_S259                3415     3165      2699      2687   2085    2085
G7B0855_S288                3261     2970      2643      2524   2141    2141
G4G2555_S85                12608    11340     10949     10831  10670   10670
G4G2470_S108               27403    25423     24154     24411  23611   23611
SP0112286649_S327          70833    65333     62038     63242  59788   59788
G4G1009_S33                  458      378       231       191    183     183
HRP0355_S358              149473   135159    133087    131454 126789  126789
G4G2466_S107               12410    10765      9922      9373   8983    8983
G4G2032_S159               26761    24436     20062     23235  18506   18506
G4G2510_S55                   94       86        66        64     60      60
G9L0122_S398                5553     5082      4621      4506   4217    4217
SP0112286655_S332           7972     7306      6384      6312   6050    6050
G4G2065_S84                 1872     1613      1354      1461   1337    1337
G4G2039_S157                6204     5383      4651      4914   4279    4279
HRP0304_S383                 258      215        82        79     77      77
G4G2419_S201               21103    19493     18142     18074  17591   17591
G4G1995_S197               15622    14868     14306     14328  13957   13957
G4G1314_S241               15235    14252     13293     12998  12686   12686
G4G1204_S179               11069    10556     10102      9953   9728    9728
G4G2273_S221               18041    15616     14666     13563  12863   12863
G4G1962_S28                  162      143        89        83     73      73
HRP0369_S372              115240   107559    103355    104171  98737   98737
G4G1191_S101                9817     8854      7994      8211   7365    7365
G9L0107_S396               20470    19607     18700     18884  18005   18005
G4G2502_S51                14050    12493     11653     11641  11221   11221
G4G0933_S133                1347     1219      1013      1035    976     976
G4G0523_S98                16598    15619     13916     14077  12746   12746
SP0112286620_S301           6798     6434      6201      6049   5796    5796
G4G2304_S222                7548     6915      5793      6281   5272    5272
G7B0525_S166                1888     1726      1483      1533   1396    1396
G4G1901_S74                 5426     4783      3999      3831   3744    3744
HRP0376_S380               36846    34007     30529     31387  29317   29317
SP0112286564_S294          16646    15536     14455     14324  13411   13411
HRP0371_S374               15913    13367     12716     11315  11022   11022
G4G1981_S256                2556     2445      2173      2122   2070    2070
G4G1052_S233                4028     3709      3355      3091   3000    3000
HRP0361_S364              447926   409652    399230    397131 389127  389127
HRP0381_S341               12781    11470     10345     10879   9978    9978
SP0112286657_S334          47194    41509     41131     38584  38172   38172
G4G1325_S36                 5768     5526      5174      4959   4871    4871
G4G1269_S141                3389     2656      2446      1622   1622    1622
G4G2058_S75                 4974     4768      4452      4395   4300    4300
G4G1039_S34                  351      298       151       165    111     111
G4G2475_S278               22153    20256     18554     18262  17121   17121
G4G2170_S3                 66323    61116     53687     58625  51070   51070
G9L0127_S387               23632    22155     21239     20876  20162   20162
G7B0473_S144               36330    33018     31299     30174  29919   29919
HRP0380_S340                 620      428       237       263    188     188
G4G2632_S94                  326      292       127       145     93      93
G4G2392_S261                 312      292       170       159    156     156
G4G2569_S145               28236    25537     23386     23362  21055   21055
G4G2277_S220                1985     1833      1478      1470   1435    1435
G4G0943_S252                9292     8472      7949      7466   7365    7365
G4G2026_S160               32385    29535     27568     27801  26807   26807
G4G2423_S280                6738     5928      4826      4786   4041    4041
HRP0305_S384              110329   101423     96426     98827  92875   92875
SP0112286677_S336         193242   179321    171533    175933 166076  166076
G4G2043_S67                 1354     1196       966       885    841     841
G4G1952_S52                  213      192       117       125    108     108
G4G2586_S129                4361     3961      3369      3542   3036    3036
