hapid	total_reads	total_samples	strain	refid_PvP01	snv_dist_from_PvP01	indel_dist_from_PvP01	bimera
ASV652	227	10	PvP01	PVP01_1430700	0	0	FALSE
ASV653	226	4	N	CAPH	3	0	FALSE
ASV654	226	1	N	MCA3	1	0	FALSE
ASV655	224	4	N	TLAP2	2	0	FALSE
ASV656	224	10	N	PVP01_1430700	1	0	FALSE
ASV657	224	1	N	PKG	1	0	FALSE
ASV658	223	6	N	PVP01_1101300	1	0	FALSE
ASV659	219	19	N	pvmrp1_6	1	0	FALSE
ASV660	218	9	PvP01	PVP01_0624000	0	0	FALSE
ASV661	215	8	N	PVP01_0838400	7	0	FALSE
ASV662	215	5	N	FCP	1	0	FALSE
ASV663	213	5	N	PVP01_0735100	1	0	FALSE
ASV664	212	9	N	PVP01_0215800_2	1	0	FALSE
ASV665	212	7	N	PVP01_0302300	2	0	FALSE
ASV666	211	12	N	PVP01_1463400	1	0	FALSE
ASV667	211	1	N	GAPDH	2	0	FALSE
ASV668	210	10	N	DRS1	2	0	FALSE
ASV669	210	2	N	TLAP2	1	0	FALSE
ASV670	209	4	N	PVP01_0215600	1	0	FALSE
ASV671	207	5	N	EIF3K_1	1	1	FALSE
ASV672	206	14	N	FRM2	2	0	FALSE
ASV673	205	3	N	RBP2b_2	5	0	FALSE
ASV674	204	6	N	HDA1	2	0	FALSE
ASV675	204	9	N	PVP01_1144900	2	30	FALSE
ASV676	204	8	N	PVP01_0820800	4	18	FALSE
ASV677	200	9	N	HDA1	2	0	FALSE
ASV678	199	10	N	GCN1	1	0	FALSE
ASV679	199	5	N	PVP01_1027500	1	0	FALSE
ASV680	197	1	N	CIA1	4	0	FALSE
ASV681	196	11	N	HDA1	3	0	FALSE
ASV682	193	1	N	VPS11	0	1	FALSE
ASV683	193	2	N	CCR4-3	1	1	FALSE
ASV684	190	7	N	SOD2_1	4	0	FALSE
ASV685	190	6	N	PVP01_1427600	1	0	FALSE
ASV686	188	9	N	pvmrp1_2	2	0	FALSE
ASV687	187	10	N	LISP2	23	9	FALSE
ASV688	184	5	N	ApiAP2_G2	1	0	FALSE
ASV689	179	6	N	pvmrp1_2	1	0	FALSE
ASV690	179	1	N	HDA1	37	1	FALSE
ASV691	177	5	N	CAPH	1	0	FALSE
ASV692	171	4	N	PVP01_0927200	3	0	FALSE
ASV693	170	2	N	PVP01_1339900	2	0	FALSE
ASV694	168	5	N	SLARP	1	0	FALSE
ASV695	168	3	N	CCR4-3	1	2	FALSE
ASV696	165	2	N	ORP1	3	0	FALSE
ASV697	163	13	N	MSP1P	1	0	FALSE
ASV698	163	4	PvP01	RBP2b_3	0	0	FALSE
ASV699	161	2	N	CCR4-3	0	2	FALSE
ASV700	159	4	N	ETRAMP11.2	4	0	FALSE
ASV701	157	10	PvP01	PVP01_1413100_1	0	0	FALSE
ASV702	157	1	N	PVP01_0908400	2	0	FALSE
ASV703	154	6	N	PIGO	1	45	FALSE
ASV704	153	14	N	PVP01_1308100	113	16	FALSE
ASV705	151	4	N	PVP01_1101300	4	0	FALSE
ASV706	151	1	N	GAPDH	0	1	FALSE
ASV707	150	5	N	HT1	1	0	FALSE
ASV708	150	6	N	CAPH	2	0	FALSE
ASV709	150	3	N	pvdhfr	31	1	TRUE
ASV710	148	3	N	CCR4-3	1	1	FALSE
ASV711	147	4	N	CG2_related	5	0	FALSE
ASV712	146	5	N	FRM1_1	2	0	FALSE
ASV713	144	2	N	PVP01_1144900	0	30	FALSE
ASV714	143	6	N	LISP2	22	9	FALSE
ASV715	143	6	N	EIF3K_2	5	0	FALSE
ASV716	141	3	N	PVP01_1446900	2	0	FALSE
ASV717	140	4	N	PVP01_1014100	10	0	FALSE
ASV718	136	1	N	CCR4-3	2	1	FALSE
ASV719	132	2	N	pBAS	4	0	FALSE
ASV720	130	5	N	pvpi3k_13	0	9	FALSE
ASV721	130	4	N	CAPH	2	0	FALSE
ASV722	130	5	N	CG2_related	6	0	FALSE
ASV723	129	4	N	BDP6	2	0	FALSE
ASV724	126	2	N	CG2_related	5	0	FALSE
ASV725	125	6	N	GCN1	1	0	FALSE
ASV726	122	3	N	PVP01_1233500	2	0	FALSE
ASV727	121	2	N	SYN13	3	0	FALSE
ASV728	121	2	N	PVP01_0838400	1	0	FALSE
ASV729	119	4	N	PVP01_0530700	12	0	FALSE
ASV730	119	10	N	PVP01_1311000	2	0	FALSE
ASV731	118	8	N	CDPK1	3	0	FALSE
ASV732	117	3	N	PVP01_1315600	2	0	FALSE
ASV733	117	5	N	pvpi3k_13	1	18	FALSE
ASV734	116	2	N	MSP5	5	0	FALSE
ASV735	116	4	N	FT1	1	0	FALSE
ASV736	115	8	N	pvmdr2_3	2	0	FALSE
ASV737	115	2	N	PVP01_0119600	1	0	FALSE
ASV738	114	2	N	TRAG38	2	0	FALSE
ASV739	112	1	N	PVP01_1415900	2	0	FALSE
ASV740	110	6	N	pvmrp1_2	0	1	FALSE
ASV741	108	13	N	pvpi3k_13	70	2	FALSE
ASV742	108	7	N	pvmrp1_6	2	0	FALSE
ASV743	108	3	N	PVP01_0109700_2	1	0	FALSE
ASV744	107	4	N	PVP01_1430700	3	0	FALSE
ASV745	107	2	N	ATG12	2	0	FALSE
ASV746	105	9	N	PVP01_1415900	1	0	FALSE
ASV747	103	3	N	PVP01_1339900	2	0	FALSE
ASV748	102	11	N	PVP01_1002800	1	0	FALSE
ASV749	102	3	N	PVP01_1131100	1	2	FALSE
ASV750	102	1	N	PVP01_1014100	4	18	TRUE
ASV751	102	1	N	PVP01_0117000	2	0	FALSE
ASV752	101	6	N	P113	4	0	FALSE
ASV753	100	4	PvP01	PVP01_1226900	0	0	FALSE
ASV754	100	6	PvP01	CAPH	0	0	FALSE
ASV755	98	8	N	GCN1	1	0	FALSE
ASV756	97	5	PvP01	pvmrp2_1	0	0	FALSE
ASV757	97	1	N	VPS11	1	1	FALSE
ASV758	97	2	N	LISP2	6	1	FALSE
ASV759	97	2	N	PVP01_1434400	2	0	FALSE
ASV760	95	1	N	SUMO	1	0	FALSE
ASV761	94	2	N	AMA1	1	0	FALSE
ASV762	93	4	N	ATG23	1	0	FALSE
ASV763	92	9	N	CG2_related	6	0	FALSE
ASV764	91	7	N	PVP01_1136100	2	26	FALSE
ASV765	88	5	N	PVP01_1413100_1	2	0	FALSE
ASV766	88	2	N	PVP01_0320600	1	0	FALSE
ASV767	88	1	PvP01	NUP637	0	0	FALSE
ASV768	87	10	N	pvmrp1_8	1	0	FALSE
ASV769	86	3	N	PVP01_0119600	1	0	FALSE
ASV770	85	2	N	LISP2	21	9	FALSE
ASV771	85	2	N	PVP01_0215800_1	1	0	FALSE
ASV772	84	3	N	PVP01_0109700_2	2	0	FALSE
ASV773	83	4	PvP01	PVP01_1403000	0	0	FALSE
ASV774	82	4	N	PIGO	1	15	FALSE
ASV775	81	2	N	FT1	1	0	FALSE
ASV776	79	3	N	EMC7	2	0	FALSE
ASV777	78	2	N	FRM2	1	0	FALSE
ASV778	78	1	N	PVP01_1430700	2	0	FALSE
ASV779	77	2	N	PSOP24	1	0	FALSE
ASV780	75	2	N	PVP01_1144900	2	15	FALSE
ASV781	75	1	N	ROM10	3	0	FALSE
ASV782	74	7	N	pvpi3k_13	0	18	FALSE
ASV783	74	3	N	PVP01_1131100	0	2	FALSE
ASV784	73	1	N	CCR4-3	2	0	FALSE
ASV785	73	1	N	CCR4-3	1	3	FALSE
ASV786	72	4	PvP01	PIGO	0	0	FALSE
ASV787	72	2	PvP01	ERCC4	0	0	FALSE
ASV788	71	2	N	SufD	1	0	FALSE
ASV789	71	2	N	SYN13	1	1	FALSE
ASV790	70	2	N	PVP01_1144900	0	15	FALSE
ASV791	69	2	N	LISP2	5	1	FALSE
ASV792	69	2	N	PVP01_0602200	2	0	FALSE
ASV793	67	4	N	PVP01_1316900	2	0	FALSE
ASV794	66	6	N	pvmdr1_2	1	0	FALSE
ASV795	65	7	N	P113	4	0	FALSE
ASV796	65	4	N	ApiAP2_2	79	3	FALSE
ASV797	65	1	N	SUMO	2	0	FALSE
ASV798	64	3	PvP01	RBP2a_2	0	0	FALSE
ASV799	64	6	N	PVP01_1136100	2	52	FALSE
ASV800	64	10	PvP01	RON5	0	0	FALSE
ASV801	64	1	PvP01	PVP01_1423300	0	0	FALSE
ASV802	64	2	N	CRMP2	2	0	FALSE
ASV803	64	2	N	PVP01_0912400	2	0	FALSE
ASV804	64	1	N	ATG23	2	0	FALSE
ASV805	63	3	N	CG2_related	5	0	FALSE
ASV806	61	6	N	NSF	2	0	FALSE
ASV807	61	5	PvP01	PVP01_1308100	0	0	FALSE
ASV808	60	2	PvP01	TRAG16_1	0	0	FALSE
ASV809	60	2	N	PVP01_1107600	2	0	FALSE
ASV810	58	1	PvP01	pvmdr2_3	0	0	FALSE
ASV811	57	7	N	PVP01_0405000_1	1	0	FALSE
ASV812	57	3	N	PVP01_1144900	0	45	FALSE
ASV813	57	2	N	SEC24B	1	0	FALSE
ASV814	56	4	N	FRM1_1	4	0	FALSE
ASV815	56	3	N	HDA1	1	0	FALSE
ASV816	55	1	N	FRM1_1	3	0	FALSE
ASV817	55	2	N	PVP01_0103700_2	2	0	FALSE
ASV818	54	3	N	RON2	72	4	FALSE
ASV819	54	2	N	MSP1	1	0	FALSE
ASV820	54	5	N	SOD2_2	78	9	FALSE
ASV821	54	1	N	PVP01_0213400	1	48	FALSE
ASV822	54	1	N	PVP01_1463400	1	0	FALSE
ASV823	53	6	N	PVP01_1430700	1	1	FALSE
ASV824	53	2	N	RAP	2	0	FALSE
ASV825	52	4	N	PVP01_1002800	5	0	FALSE
ASV826	52	2	N	PVP01_1270000	1	0	FALSE
ASV827	52	3	N	PVP01_1344700	0	17	FALSE
ASV828	51	2	N	PVP01_1308100	2	0	FALSE
ASV829	50	3	N	SOD2_1	3	1	FALSE
ASV830	50	2	N	RAMA	1	0	FALSE
ASV831	50	2	N	ApiAP2_G5	2	0	FALSE
ASV832	49	2	N	PVP01_1233500	0	1	FALSE
ASV833	49	2	N	PVP01_MIT00200_500	16	2	FALSE
ASV834	49	7	N	AMA1	2	0	FALSE
ASV835	49	1	N	PVP01_1465800	2	13	FALSE
ASV836	49	1	N	ATG23	1	0	FALSE
ASV837	48	6	PvP01	PVP01_1464400	0	0	FALSE
ASV838	48	1	N	PVP01_1465800	0	12	FALSE
ASV839	48	3	N	PVP01_0213400	10	0	FALSE
ASV840	48	2	N	PVP01_1427600	1	0	FALSE
ASV841	48	1	N	CCR4-3	1	0	FALSE
ASV842	47	5	N	EIF3K_1	3	1	FALSE
ASV843	47	5	N	pvmrp1_12	1	0	FALSE
ASV844	46	1	N	PVP01_1469700	0	1	FALSE
ASV845	45	2	N	PVP01_1445500	2	0	FALSE
ASV846	44	4	N	pvpi3k_4	25	4	FALSE
ASV847	44	4	N	AMA1	2	0	FALSE
ASV848	44	1	N	PVP01_0109700_1	1	30	FALSE
ASV849	44	2	N	PVP01_0602400	1	1	FALSE
ASV850	44	1	PvP01	LISP2	0	0	FALSE
ASV851	44	2	PvP01	PWP1	0	0	FALSE
ASV852	44	2	N	pvmrp1_12	1	0	FALSE
ASV853	43	4	N	PVP01_0602400	1	0	FALSE
ASV854	43	4	N	MATE	1	0	FALSE
ASV855	42	3	N	pvmrp2_2	1	0	FALSE
ASV856	40	5	N	PVP01_1345500	1	0	FALSE
ASV857	39	6	N	RON5	2	0	FALSE
ASV858	39	1	N	PVP01_1415900	55	1	FALSE
ASV859	38	5	PvP01	PVP01_1401400	0	0	FALSE
ASV860	38	2	N	CDPK1	2	0	FALSE
ASV861	37	2	N	SOD2_2	1	4	FALSE
ASV862	37	4	N	PVP01_1401400	4	0	FALSE
ASV863	37	3	N	PVP01_0931600	2	0	FALSE
ASV864	36	4	N	FER2_1	2	0	FALSE
ASV865	36	2	N	NUP637	2	0	FALSE
ASV866	36	2	PvP01	pvmrp1_6	0	0	FALSE
ASV867	36	1	N	pvdhfr	31	1	TRUE
ASV868	36	1	N	PVP01_0530700	1	0	TRUE
ASV869	36	1	N	pvpi3k_4	26	2	TRUE
ASV870	35	2	N	SufD	7	0	FALSE
ASV871	35	1	N	CCR4-3	0	2	FALSE
ASV872	34	3	N	PSOP13	1	0	FALSE
ASV873	34	3	N	P113	5	0	FALSE
ASV874	34	2	N	NSF	1	0	FALSE
ASV875	33	2	N	PVP01_0405000_2	2	0	FALSE
ASV876	33	3	PvP01	PVP01_1418900	0	0	FALSE
ASV877	33	4	N	PVP01_1464400	3	0	FALSE
ASV878	33	1	N	ORP1	1	0	FALSE
ASV879	32	2	N	ERCC4	2	0	FALSE
ASV880	31	3	N	SOD2_1	2	1	FALSE
ASV881	31	4	N	HDA1	1	0	FALSE
ASV882	31	1	N	PVP01_1438700	1	0	FALSE
ASV883	31	1	PvP01	PVP01_0405000_1	0	0	FALSE
ASV884	31	1	N	KIN17	3	1	FALSE
ASV885	29	1	N	PVP01_1014100	6	18	FALSE
ASV886	29	6	PvP01	ETRAMP	0	0	FALSE
ASV887	29	2	N	VPS53	2	0	FALSE
ASV888	29	5	PvP01	PVP01_1136100	0	0	FALSE
ASV889	29	2	N	EIF3K_1	1	2	FALSE
ASV890	29	4	N	FRM2	1	30	FALSE
ASV891	29	1	N	pvdhps_1	1	0	FALSE
ASV892	29	1	N	SRPR_alpha	1	0	FALSE
ASV893	28	1	N	MyoB	4	0	FALSE
ASV894	26	3	N	ROM10	2	0	FALSE
ASV895	26	2	N	PVP01_0420500	1	0	FALSE
ASV896	25	1	N	PVP01_0318900	2	0	FALSE
ASV897	24	2	N	GAP50	1	0	FALSE
ASV898	24	1	N	pvmdr2_6	33	1	TRUE
ASV899	23	3	N	pvdhfr	1	0	FALSE
ASV900	23	3	N	MSP1	3	0	FALSE
ASV901	23	1	N	PIGO	0	45	FALSE
ASV902	23	1	N	LISP2	23	8	FALSE
ASV903	23	3	N	PVP01_0624000	2	0	FALSE
ASV904	23	1	N	PVP01_1233500	0	2	FALSE
ASV905	23	2	N	SufD	6	0	FALSE
ASV906	23	1	N	BDP6	1	0	FALSE
ASV907	23	3	N	PVP01_1401400	4	0	FALSE
ASV908	22	2	N	PVP01_1430700	0	1	FALSE
ASV909	22	1	N	pvmrp2_2	2	0	FALSE
ASV910	21	2	N	RON5	1	0	FALSE
ASV911	21	6	PvP01	pvmrp1_12	0	0	FALSE
ASV912	21	1	N	LISP2	1	1	FALSE
ASV913	21	2	N	PVP01_0213400	9	0	FALSE
ASV914	20	2	N	PVP01_0314600	1	0	FALSE
ASV915	20	1	N	DBP_1	1	0	FALSE
ASV916	20	1	N	LISP2	21	7	FALSE
ASV917	20	2	N	PVP01_0927200	5	0	FALSE
ASV918	20	4	N	EIF3K_1	2	1	FALSE
ASV919	20	1	N	RPA2	2	0	FALSE
ASV920	20	1	N	pvmrp1_2	2	1	FALSE
ASV921	20	1	N	RIPR	4	0	FALSE
ASV922	19	2	N	PVP01_0518900	2	0	FALSE
ASV923	19	2	N	PVP01_0927200	4	0	FALSE
ASV924	18	1	N	PVP01_1233500	1	1	FALSE
ASV925	18	2	N	PVP01_0302700	1	0	FALSE
ASV926	18	1	N	PVP01_1233500	0	2	FALSE
ASV927	18	3	N	pvpi3k_13	13	27	FALSE
ASV928	18	1	N	LISP2	16	6	FALSE
ASV929	18	1	N	RPA2	84	5	FALSE
ASV930	18	1	N	CCR4-3	2	1	FALSE
ASV931	18	3	PvP01	PVP01_1335200	0	0	FALSE
ASV932	17	2	N	PVP01_1329500	0	1	FALSE
ASV933	17	1	N	KIN17	1	1	FALSE
ASV934	16	1	N	PVP01_1133200	2	0	FALSE
ASV935	16	2	N	pvpi3k_13	0	19	FALSE
ASV936	16	3	N	RON5	1	0	FALSE
ASV937	16	2	N	LISP2	22	6	FALSE
ASV938	16	1	N	pvmdr2_3	2	0	FALSE
ASV939	15	2	N	pvabc-e1_1	31	2	FALSE
ASV940	15	1	N	PVP01_0213400	1	0	FALSE
ASV941	15	1	N	PVP01_0530700	4	30	FALSE
ASV942	14	1	N	PVP01_1147300	1	0	FALSE
ASV943	14	1	N	PVP01_0215600	1	0	FALSE
ASV944	14	1	N	PVP01_1430700	0	1	FALSE
ASV945	14	1	N	ERCC4	2	0	FALSE
ASV946	14	1	N	P113	4	0	FALSE
ASV947	14	1	N	pvmrp1_7	1	0	FALSE
ASV948	14	1	N	SYN13	1	2	FALSE
ASV949	14	1	N	EIF3K_1	3	1	FALSE
ASV950	14	1	N	PIGO	77	11	FALSE
ASV951	14	1	PvP01	LSM8	0	0	FALSE
ASV952	13	2	N	LISP2	22	8	FALSE
ASV953	13	1	N	PPT	2	1	FALSE
ASV954	13	1	N	CCR4-3	1	1	FALSE
ASV955	13	1	PvP01	PVP01_1002800	0	0	FALSE
ASV956	13	1	N	LISP2	21	7	FALSE
ASV957	12	1	PvP01	RPA2	0	0	FALSE
ASV958	12	1	N	PIGO	0	60	FALSE
ASV959	12	2	N	SEC24B	4	30	FALSE
ASV960	12	1	N	ATAT	3	0	FALSE
ASV961	11	2	N	CRMP2	1	0	FALSE
ASV962	11	1	N	LISP2	23	8	FALSE
ASV963	11	1	N	CTRP	2	19	FALSE
ASV964	11	1	N	LISP2	0	1	FALSE
ASV965	11	1	N	pvdmt2_1	6	8	TRUE
ASV966	10	1	N	CG2_related	4	0	FALSE
ASV967	10	1	N	pvpi3k_4	23	4	FALSE
ASV968	10	1	N	PVP01_0405000_1	2	0	FALSE
ASV969	10	1	N	LSM8	3	1	FALSE
ASV970	9	1	N	PVP01_1403000	2	0	FALSE
ASV971	9	1	N	PVP01_0518900	1	1	FALSE
ASV972	9	1	N	PVP01_1418900	52	1	FALSE
ASV973	9	2	N	ApiAP2_2	3	36	FALSE
ASV974	9	2	N	pvmrp1_2	0	2	FALSE
ASV975	9	1	N	EIF3K_2	3	0	FALSE
ASV976	8	1	N	PVP01_1140700	87	4	FALSE
ASV977	8	1	N	PVP01_1101300	1	0	FALSE
ASV978	8	1	N	PIGO	1	0	FALSE
ASV979	8	1	N	pvpi3k_4	24	4	FALSE
ASV980	8	1	N	pvdmt2_1	4	12	TRUE
ASV981	8	1	N	PVP01_0109700_2	1	0	FALSE
ASV982	8	1	N	PPT	1	0	FALSE
ASV983	8	1	N	PVP01_1465800	0	1	FALSE
ASV984	8	1	N	PVP01_0838400	5	0	FALSE
ASV985	7	1	N	PVP01_1329500	1	1	FALSE
ASV986	7	1	N	PVP01_1443400	2	0	FALSE
ASV987	7	1	N	pvpi3k_13	0	10	FALSE
ASV988	7	1	N	PVP01_1401400	2	0	FALSE
ASV989	7	1	N	PSOP13	1	0	FALSE
ASV990	7	1	N	LISP2	23	9	FALSE
ASV991	7	1	N	PVP01_1430700	3	1	FALSE
ASV992	7	1	N	PVP01_1308100	1	0	FALSE
ASV993	7	1	N	LISP2	5	0	FALSE
ASV994	7	1	N	pvdmt2_1	2	14	TRUE
ASV995	7	1	N	LISP2	19	7	FALSE
ASV996	7	1	N	PVP01_1415900	2	1	FALSE
ASV997	7	1	N	P113	4	0	FALSE
ASV998	7	1	N	pvpi3k_13	14	18	FALSE
ASV999	6	1	N	LISP2	11	0	FALSE
ASV1000	6	1	N	PVP01_1144400	1	0	FALSE
ASV1001	6	1	N	pvmrp1_12	1	0	FALSE
ASV1002	6	1	N	pvpi3k_13	2	17	FALSE
ASV1003	6	2	N	PVP01_0624400	1	0	FALSE
ASV1004	6	1	N	pvpi3k_7	18	4	FALSE
ASV1005	6	1	N	CTRP	8	2	FALSE
ASV1006	6	1	N	PVP01_0420500	1	1	FALSE
ASV1007	6	1	N	LISP2	23	9	FALSE
ASV1008	6	1	N	ATG23	1	1	FALSE
ASV1009	6	1	N	RON11	2	0	FALSE
ASV1010	6	1	N	pvpi3k_4	20	4	TRUE
ASV1011	6	1	N	NUP637	1	1	FALSE
ASV1012	5	1	N	P113	4	0	FALSE
ASV1013	5	1	N	pvdmt2_1	4	5	TRUE
ASV1014	5	1	N	PVP01_1469700	29	4	FALSE
ASV1015	5	1	N	PVP01_0624400	1	0	FALSE
ASV1016	5	1	N	PVP01_1413100_1	2	0	FALSE
ASV1017	5	1	N	ATG23	1	1	FALSE
ASV1018	5	1	N	MLC_B	51	3	TRUE
ASV1019	5	1	N	ATG11	52	2	FALSE
ASV1020	4	1	N	PVP01_0420500	1	1	FALSE
ASV1021	4	1	N	PVP01_1427600	0	1	FALSE
ASV1022	4	1	N	PVP01_0420500	2	0	FALSE
ASV1023	4	1	N	PVP01_1406900	0	1	FALSE
ASV1024	4	1	N	pvmdr1_2	2	0	FALSE
ASV1025	4	1	N	TRAP	1	0	FALSE
ASV1026	4	1	N	TLAP2	2	0	FALSE
ASV1027	4	1	N	PVP01_1335200	3	1	FALSE
ASV1028	3	1	N	RBP2b_1	3	0	FALSE
ASV1029	3	1	N	PSOP13	1	1	FALSE
ASV1030	3	1	N	pvdhps_1	41	4	FALSE
ASV1031	3	1	N	pvpi3k_4	21	2	FALSE
ASV1032	3	1	N	PSOP24	0	1	FALSE
ASV1033	2	1	N	pvmrp1_6	1	0	FALSE
ASV1034	2	1	N	ApiAP2_2	80	2	FALSE
ASV1035	2	1	N	FT1	0	53	FALSE
ASV1036	2	1	N	FT1	0	25	FALSE
ASV1037	2	1	N	PVP01_0710900	5	12	FALSE
ASV1038	1	1	N	pvdhps_1	46	2	FALSE
ASV1039	1	1	N	pvdmt2_1	4	11	FALSE
