hapid	total_reads	total_samples	strain	refid_PvP01	snv_dist_from_PvP01	indel_dist_from_PvP01	bimera
ASV299	1396	16	N	pvmdr1_4	1	0	FALSE
ASV300	1394	24	N	G37	4	3	FALSE
ASV301	1390	26	N	PVP01_0735100	1	0	FALSE
ASV302	1377	21	N	ORP1	2	0	FALSE
ASV303	1363	28	PvP01	PIP1	0	0	FALSE
ASV304	1359	38	N	RBP2b_1	1	0	FALSE
ASV305	1351	8	N	PVP01_0527700	2	0	FALSE
ASV306	1348	33	N	PVP01_1403000	1	0	FALSE
ASV307	1346	13	N	PVP01_1465800	1	0	FALSE
ASV308	1345	16	PvP01	PVP01_1413100_2	0	0	FALSE
ASV309	1335	19	N	ETRAMP11.2	1	0	FALSE
ASV310	1320	18	N	RAP	1	0	FALSE
ASV311	1312	14	N	SEC24B	2	0	FALSE
ASV312	1309	23	PvP01	PSOP13	0	0	FALSE
ASV313	1304	6	N	PVP01_0213400	1	24	FALSE
ASV314	1297	8	N	pvmdr2_6	1	0	FALSE
ASV315	1296	24	N	PSOP1	1	0	FALSE
ASV316	1283	38	PvP01	PVP01_1270000	0	0	FALSE
ASV317	1281	12	N	PVP01_0103700_2	1	0	FALSE
ASV318	1274	6	N	PVP01_0530700	6	0	FALSE
ASV319	1267	4	N	PVP01_0530700	3	15	FALSE
ASV320	1266	6	N	ROM10	1	0	FALSE
ASV321	1258	14	N	ETRAMP11.2	2	0	FALSE
ASV322	1251	11	PvP01	GAP50	0	0	FALSE
ASV323	1249	20	N	PVP01_1423300	3	0	FALSE
ASV324	1247	15	N	PVP01_1315600	2	0	FALSE
ASV325	1247	29	N	RON1	1	0	FALSE
ASV326	1235	6	N	MSP5	3	0	FALSE
ASV327	1227	47	N	CDPK1	3	0	FALSE
ASV328	1222	21	N	LipB	2	0	FALSE
ASV329	1221	37	N	RAMA	43	0	FALSE
ASV330	1216	1	N	PVP01_1256600	1	0	FALSE
ASV331	1215	14	N	PVP01_0838300	2	0	FALSE
ASV332	1211	24	N	ApiAP2_G5	1	0	FALSE
ASV333	1211	9	N	PVP01_0530700	0	45	FALSE
ASV334	1211	18	PvP01	PVP01_0320600	0	0	FALSE
ASV335	1209	33	N	pvmrp1_7	1	0	FALSE
ASV336	1200	21	N	ERCC4	2	0	FALSE
ASV337	1195	13	N	PVP01_1024100	1	0	FALSE
ASV338	1191	32	PvP01	pvpi3k_6	0	0	FALSE
ASV339	1187	28	PvP01	PVP01_0908400	0	0	FALSE
ASV340	1184	23	N	PVP01_1445500	1	0	FALSE
ASV341	1182	24	N	PVP01_1427600	1	0	FALSE
ASV342	1152	4	N	PVP01_0942500	1	0	FALSE
ASV343	1144	6	PvP01	SYN13	0	0	FALSE
ASV344	1133	20	N	PVP01_1027500	2	0	FALSE
ASV345	1123	17	PvP01	PVP01_1465800	0	0	FALSE
ASV346	1123	46	PvP01	TRAG18	0	0	FALSE
ASV347	1120	19	PvP01	PVP01_0838400	0	0	FALSE
ASV348	1117	37	PvP01	PVP01_1345500	0	0	FALSE
ASV349	1115	13	N	MB2	1	0	FALSE
ASV350	1104	33	PvP01	PVP01_1339900	0	0	FALSE
ASV351	1104	15	N	CIA1	3	0	FALSE
ASV352	1100	8	N	PVP01_1467900	1	0	FALSE
ASV353	1091	44	N	ETRAMP	5	0	FALSE
ASV354	1091	13	PvP01	CLK1	0	0	FALSE
ASV355	1086	4	N	PVP01_0306200	2	0	FALSE
ASV356	1083	29	N	MAM3	1	0	FALSE
ASV357	1058	21	PvP01	MSP1	0	0	FALSE
ASV358	1058	28	N	P113	3	0	FALSE
ASV359	1055	20	N	MSP5	3	0	FALSE
ASV360	1047	27	N	PPT	3	0	FALSE
ASV361	1045	20	N	PVP01_1443400	4	0	FALSE
ASV362	1045	28	N	PVP01_0119600	1	0	FALSE
ASV363	1041	13	N	MLC_B	1	0	FALSE
ASV364	1039	25	N	SOD2_1	3	0	FALSE
ASV365	1037	20	N	PVP01_1101300	1	0	FALSE
ASV366	1036	30	PvP01	PVP01_1445500	0	0	FALSE
ASV367	1033	25	PvP01	PVP01_1027500	0	0	FALSE
ASV368	1029	6	N	PVP01_0504000	1	0	FALSE
ASV369	1024	17	N	PVP01_1144900	3	15	FALSE
ASV370	1020	10	N	PSOP24	1	0	FALSE
ASV371	1013	5	N	PVP01_0912400	2	0	FALSE
ASV372	1004	13	N	RIPR	2	0	FALSE
ASV373	1004	10	N	PVP01_1131100	0	1	FALSE
ASV374	998	34	N	PIGO	1	0	FALSE
ASV375	992	15	N	PVP01_1107600	3	0	FALSE
ASV376	988	32	N	LRR5	1	0	FALSE
ASV377	978	17	N	PVP01_1107600	3	0	FALSE
ASV378	977	6	N	MB2	1	0	FALSE
ASV379	975	12	N	DBP_1	1	0	FALSE
ASV380	972	7	N	RBP2b_3	2	0	FALSE
ASV381	971	8	N	SOD2_2	3	4	FALSE
ASV382	970	4	N	pvmdr2_1	1	12	FALSE
ASV383	968	24	N	PVP01_1464400	1	0	FALSE
ASV384	965	18	N	PVP01_0931600	1	0	FALSE
ASV385	964	21	PvP01	TRAP	0	0	FALSE
