Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate,Total_ReadDepth,Mean_ReadDepth,SD_ReadDepth,Median_ReadDepth,IQR_ReadDepth,q25_ReadDepth,q75_ReadDepth,SamplePlate_ID,SamplePlate_Well_Position,Parasite_qPCR,Cq,Parasite_Concentration
G4G1204,179,Samples,Run2,Guyana,Guyana,0.625,9517,79.3083333333333,301.683032387989,25.5,35.25,14,49.25,NA,NA,NA,NA,NA
G4G1213,100,Samples,Run2,Guyana,Guyana,0.697916666666667,13551,101.126865671642,232.90894737869,44,67.75,19.25,87,NA,NA,NA,NA,NA
G4G1220,156,Samples,Run2,Guyana,Guyana,0.802083333333333,15674,101.779220779221,225.314311958306,41.5,64,17,81,NA,NA,NA,NA,NA
G4G1314,241,Samples,Run2,Guyana,Guyana,0.744791666666667,12572,87.9160839160839,182.347814088533,36,52.5,15,67.5,NA,NA,NA,NA,NA
G4G1320,240,Samples,Run2,Guyana,Guyana,0.963541666666667,45844,247.805405405405,589.316391892531,97,173,39,212,NA,NA,NA,NA,NA
G4G1331,238,Samples,Run2,Guyana,Guyana,0.640625,6693,54.4146341463415,102.465502137786,22,40,11,51,NA,NA,NA,NA,NA
G4G1338,37,Samples,Run2,Guyana,Guyana,0.765625,14056,95.6190476190476,282.699301338311,36,68.5,17,85.5,NA,NA,NA,NA,NA
G4G1362,118,Samples,Run2,Guyana,Guyana,0.875,22139,131.779761904762,320.410111930769,54,106,22,128,NA,NA,NA,NA,NA
G4G1363,119,Samples,Run2,Guyana,Guyana,0.890625,23706,138.631578947368,293.23080439129,61,103.5,18.5,122,NA,NA,NA,NA,NA
G4G1364,239,Samples,Run2,Guyana,Guyana,0.713541666666667,9014,65.7956204379562,135.412069292549,30,37,14,51,NA,NA,NA,NA,NA
G4G1369,237,Samples,Run2,Guyana,Guyana,0.588541666666667,4427,39.1769911504425,77.3958090052703,19,22,11,33,NA,NA,NA,NA,NA
G4G1370,217,Samples,Run2,Guyana,Guyana,0.583333333333333,5012,44.75,61.3819088880326,23,43,11,54,NA,NA,NA,NA,NA
G4G1394,43,Samples,Run2,Guyana,Guyana,0.723958333333333,16750,120.503597122302,636.71093678054,33,37,16.5,53.5,NA,NA,NA,NA,NA
G4G1399,61,Samples,Run2,Guyana,Guyana,0.713541666666667,11179,81.5985401459854,166.083318028226,32,50,15,65,NA,NA,NA,NA,NA
G4G1908,72,Samples,Run2,Guyana,Guyana,0.848958333333333,33003,202.472392638037,850.51731035928,45,91,21.5,112.5,NA,NA,NA,NA,NA
G4G1921,91,Samples,Run2,Guyana,Guyana,0.786458333333333,17966,118.980132450331,231.930462860421,42,98.5,16.5,115,NA,NA,NA,NA,NA
G4G1922,90,Samples,Run2,Guyana,Guyana,0.848958333333333,22131,135.773006134969,280.697572429952,45,80.5,18,98.5,NA,NA,NA,NA,NA
G4G1928,66,Samples,Run2,Guyana,Guyana,0.9375,25089,139.383333333333,322.974864113544,53,120,20,140,NA,NA,NA,NA,NA
G4G1938,8,Samples,Run2,Guyana,Guyana,0.583333333333333,5366,47.9107142857143,91.2442078696258,23.5,24.75,13,37.75,Gates 056,A08,P. vivax,18.947893207065,512.31410851207
G4G1943,56,Samples,Run2,Guyana,Guyana,0.703125,11789,87.3259259259259,226.231945090756,29,57.5,12,69.5,NA,NA,NA,NA,NA
G4G1944,63,Samples,Run2,Guyana,Guyana,0.625,11462,95.5166666666667,264.448084954031,32.5,55.5,14,69.5,NA,NA,NA,NA,NA
G4G1956,9,Samples,Run2,Guyana,Guyana,0.828125,15374,96.6918238993711,280.121898187415,35,65,15,80,Gates 056,A09,P. vivax,19.6601351566719,306.586944766685
G4G1963,27,Samples,Run2,Guyana,Guyana,0.614583333333333,5304,44.9491525423729,76.2982057184628,21,29.75,11,40.75,NA,NA,NA,NA,NA
G4G1965,26,Samples,Run2,Guyana,Guyana,0.671875,7365,57.093023255814,92.5578739441965,24,37,12,49,NA,NA,NA,NA,NA
G4G1969,24,Samples,Run2,Guyana,Guyana,0.692708333333333,12862,96.7067669172932,227.879778975633,28,57,14,71,Gates 056,B12,P. vivax,18.6419097711317,638.750143174869
G4G1984,266,Samples,Run2,Guyana,Guyana,0.869791666666667,19880,119.041916167665,241.944615620252,50,92,19,111,NA,NA,NA,NA,NA
G4G1986,268,Samples,Run2,Guyana,Guyana,0.953125,27980,152.896174863388,353.066667328841,66,131.5,23,154.5,NA,NA,NA,NA,NA
G4G1991,194,Samples,Run2,Guyana,Guyana,0.536458333333333,9048,87.8446601941748,154.008642314259,34,61,19.5,80.5,NA,NA,NA,NA,NA
G4G1992,195,Samples,Run2,Guyana,Guyana,0.96875,58737,315.790322580645,865.618850092563,97,211,43,254,NA,NA,NA,NA,NA
G4G1995,197,Samples,Run2,Guyana,Guyana,0.729166666666667,13829,98.7785714285714,213.730721049284,38,61.5,19,80.5,NA,NA,NA,NA,NA
G4G1996,196,Samples,Run2,Guyana,Guyana,0.927083333333333,107475,603.792134831461,1314.59378982794,193,393.5,72.5,466,NA,NA,NA,NA,NA
G4G2000,38,Samples,Run2,Guyana,Guyana,0.901041666666667,29334,169.560693641618,533.098242466101,69,141,21,162,NA,NA,NA,NA,NA
G4G2005,30,Samples,Run2,Guyana,Guyana,0.510416666666667,3120,31.8367346938776,37.5726633126149,19,27.5,11.25,38.75,NA,NA,NA,NA,NA
G4G2011,164,Samples,Run2,Guyana,Guyana,0.890625,33721,197.198830409357,562.183805193776,68,150.5,25.5,176,NA,NA,NA,NA,NA
G4G2017,163,Samples,Run2,Guyana,Guyana,0.682291666666667,9430,71.9847328244275,205.880285779899,29,41,15,56,NA,NA,NA,NA,NA
G4G2023,165,Samples,Run2,Guyana,Guyana,0.713541666666667,12517,91.3649635036496,254.922591362451,31,63,14,77,NA,NA,NA,NA,NA
G4G2026,160,Samples,Run2,Guyana,Guyana,0.932291666666667,26128,145.966480446927,309.423764901563,66,114.5,21,135.5,NA,NA,NA,NA,NA
G4G2032,159,Samples,Run2,Guyana,Guyana,0.75,18162,126.125,249.184624872257,51,94,22,116,NA,NA,NA,NA,NA
