Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate
128-GZ-Alt-sWGA-bc,55,Samples,Run1,Honduras,Honduras,0
105-GZ-Control,26,Samples,Run1,Honduras,Honduras,0
146-GZ-Alt-sWGA-bc,61,Samples,Run1,Honduras,Honduras,0
178-GZ-Control,27,Samples,Run1,Honduras,Honduras,0
148-GZ-Control,10,Samples,Run1,Honduras,Honduras,0
159-GZ-Control,28,Samples,Run1,Honduras,Honduras,0
105-GZ-Alt-sWGA-Dilution,98,Samples,Run1,Honduras,Honduras,0
111-GZ-Control,18,Samples,Run1,Honduras,Honduras,0
159-GZ-Alt-sWGA-bc,64,Samples,Run1,Honduras,Honduras,0
111-GZ-Alt-sWGA-bc,54,Samples,Run1,Honduras,Honduras,0
178-GZ-Alt-sWGA-bc,63,Samples,Run1,Honduras,Honduras,0
184-GZ-Control,23,Samples,Run1,Honduras,Honduras,0
205-GZ-Alt-sWGA-bc,52,Samples,Run1,Honduras,Honduras,0
133-GZ-Alt-sWGA-Dilution,101,Samples,Run1,Honduras,Honduras,0
128-GZ-Alt-sWGA-Dilution,91,Samples,Run1,Honduras,Honduras,0
184-GZ-Alt-sWGA-Dilution,95,Samples,Run1,Honduras,Honduras,0
205-GZ-Alt-sWGA-Dilution,88,Samples,Run1,Honduras,Honduras,0
148-GZ-Alt-sWGA-Dilution,82,Samples,Run1,Honduras,Honduras,0
128-GZ-Control,19,Samples,Run1,Honduras,Honduras,0
145-GZ-Alt-sWGA-Dilution,80,Samples,Run1,Honduras,Honduras,0
PF-27420-Alt-sWGA-Dilution,75,Samples,Run1,Honduras,Honduras,0
146-GZ-Control,25,Samples,Run1,Honduras,Honduras,0
160-GZ-Alt-sWGA-Dilution,83,Samples,Run1,Honduras,Honduras,0
105-GZ-Alt-sWGA-bc,62,Samples,Run1,Honduras,Honduras,0
133-GZ-Alt-sWGA-bc,65,Samples,Run1,Honduras,Honduras,0
117-GZ-Alt-sWGA-Dilution,92,Samples,Run1,Honduras,Honduras,0
G4G0522,134,Samples,Run2,Guyana,Guyana,0.28125
G4G0523,98,Samples,Run2,Guyana,Guyana,0.765625
G4G0534,20,Samples,Run2,Guyana,Guyana,0.786458333333333
G4G0539,62,Samples,Run2,Guyana,Guyana,0.630208333333333
G4G0544,13,Samples,Run2,Guyana,Guyana,0.244791666666667
G4G0546,15,Samples,Run2,Guyana,Guyana,0.723958333333333
G4G0549,16,Samples,Run2,Guyana,Guyana,0.0833333333333334
G4G0551,19,Samples,Run2,Guyana,Guyana,0.192708333333333
G4G0555,97,Samples,Run2,Guyana,Guyana,0.0989583333333334
