Sample_id,order_in_plate,typeofSamp,Run,Country,Strata,sample_ampl_rate
G4G2017,163,Samples,Run2,Guyana,Guyana,0.682291666666667
G4G2023,165,Samples,Run2,Guyana,Guyana,0.713541666666667
G4G2026,160,Samples,Run2,Guyana,Guyana,0.932291666666667
G4G2032,159,Samples,Run2,Guyana,Guyana,0.75
G4G2038,158,Samples,Run2,Guyana,Guyana,0.697916666666667
G4G2056,76,Samples,Run2,Guyana,Guyana,0.671875
G4G2058,75,Samples,Run2,Guyana,Guyana,0.505208333333333
G4G2063,73,Samples,Run2,Guyana,Guyana,0.744791666666667
G4G2095,2,Samples,Run2,Guyana,Guyana,0.671875
G4G2103,172,Samples,Run2,Guyana,Guyana,0.619791666666667
G4G2109,209,Samples,Run2,Guyana,Guyana,0.609375
G4G2110,122,Samples,Run2,Guyana,Guyana,0.927083333333333
G4G2111,214,Samples,Run2,Guyana,Guyana,0.71875
G4G2115,216,Samples,Run2,Guyana,Guyana,0.994791666666667
G4G2123,207,Samples,Run2,Guyana,Guyana,0.5625
G4G2128,174,Samples,Run2,Guyana,Guyana,0.619791666666667
G4G2129,212,Samples,Run2,Guyana,Guyana,0.979166666666667
G4G2132,275,Samples,Run2,Guyana,Guyana,0.609375
G4G2135,210,Samples,Run2,Guyana,Guyana,0.802083333333333
G4G2139,208,Samples,Run2,Guyana,Guyana,0.963541666666667
G4G2149,4,Samples,Run2,Guyana,Guyana,0.739583333333333
G4G2157,1,Samples,Run2,Guyana,Guyana,0.776041666666667
G4G2170,3,Samples,Run2,Guyana,Guyana,0.947916666666667
G4G2171,120,Samples,Run2,Guyana,Guyana,0.984375
G4G2177,121,Samples,Run2,Guyana,Guyana,0.65625
G4G2206,219,Samples,Run2,Guyana,Guyana,0.947916666666667
G4G2257,178,Samples,Run2,Guyana,Guyana,0.744791666666667
G4G2269,218,Samples,Run2,Guyana,Guyana,0.651041666666667
G4G2273,221,Samples,Run2,Guyana,Guyana,0.671875
G4G2304,222,Samples,Run2,Guyana,Guyana,0.651041666666667
G4G2308,213,Samples,Run2,Guyana,Guyana,0.53125
G4G2328,191,Samples,Run2,Guyana,Guyana,0.583333333333333
G4G2331,142,Samples,Run2,Guyana,Guyana,0.791666666666667
G4G2346,188,Samples,Run2,Guyana,Guyana,0.723958333333333
G4G2370,183,Samples,Run2,Guyana,Guyana,0.885416666666667
G4G2379,182,Samples,Run2,Guyana,Guyana,0.875
G4G2390,180,Samples,Run2,Guyana,Guyana,0.942708333333333
G4G2419,201,Samples,Run2,Guyana,Guyana,0.828125
G4G2420,200,Samples,Run2,Guyana,Guyana,0.875
G4G2423,280,Samples,Run2,Guyana,Guyana,0.515625
G4G2428,281,Samples,Run2,Guyana,Guyana,0.583333333333333
G4G2432,193,Samples,Run2,Guyana,Guyana,0.979166666666667
G4G2463,22,Samples,Run2,Guyana,Guyana,0.942708333333333
G4G2466,107,Samples,Run2,Guyana,Guyana,0.635416666666667
G4G2470,108,Samples,Run2,Guyana,Guyana,0.8125
G4G2473,277,Samples,Run2,Guyana,Guyana,0.729166666666667
G4G2475,278,Samples,Run2,Guyana,Guyana,0.869791666666667
G4G2484,224,Samples,Run2,Guyana,Guyana,0.755208333333333
G4G2494,48,Samples,Run2,Guyana,Guyana,0.651041666666667
G4G2502,51,Samples,Run2,Guyana,Guyana,0.65625
G4G2505,57,Samples,Run2,Guyana,Guyana,0.65625
G4G2514,231,Samples,Run2,Guyana,Guyana,0.692708333333333
G4G2516,230,Samples,Run2,Guyana,Guyana,0.75
G4G2517,283,Samples,Run2,Guyana,Guyana,0.838541666666667
G4G2518,229,Samples,Run2,Guyana,Guyana,0.96875
G4G2520,225,Samples,Run2,Guyana,Guyana,0.630208333333333
G4G2526,203,Samples,Run2,Guyana,Guyana,0.984375
G4G2527,202,Samples,Run2,Guyana,Guyana,0.984375
G4G2528,132,Samples,Run2,Guyana,Guyana,0.833333333333333
G4G2532,226,Samples,Run2,Guyana,Guyana,0.614583333333333
G4G2533,227,Samples,Run2,Guyana,Guyana,0.588541666666667
G4G2541,146,Samples,Run2,Guyana,Guyana,0.635416666666667
G4G2544,147,Samples,Run2,Guyana,Guyana,0.510416666666667
G4G2545,86,Samples,Run2,Guyana,Guyana,0.838541666666667
G4G2549,87,Samples,Run2,Guyana,Guyana,0.817708333333333
G4G2556,77,Samples,Run2,Guyana,Guyana,0.916666666666667
G4G2564,131,Samples,Run2,Guyana,Guyana,0.692708333333333
G4G2569,145,Samples,Run2,Guyana,Guyana,0.833333333333333
G4G2573,89,Samples,Run2,Guyana,Guyana,0.984375
G4G2589,130,Samples,Run2,Guyana,Guyana,0.864583333333333
G4G2592,263,Samples,Run2,Guyana,Guyana,0.59375
G4G2597,265,Samples,Run2,Guyana,Guyana,0.869791666666667
G4G2603,249,Samples,Run2,Guyana,Guyana,0.630208333333333
G4G2610,246,Samples,Run2,Guyana,Guyana,0.770833333333333
G4G2628,286,Samples,Run2,Guyana,Guyana,0.572916666666667
G4G3225,386,Samples,Run2,Guyana,Guyana,0.630208333333333
G7B0472,143,Samples,Run2,Guyana,Guyana,0.984375
G7B0473,144,Samples,Run2,Guyana,Guyana,0.911458333333333
G7B0477,116,Samples,Run2,Guyana,Guyana,0.53125
G7B0480,115,Samples,Run2,Guyana,Guyana,0.739583333333333
G7B0483,113,Samples,Run2,Guyana,Guyana,0.567708333333333
G9L0034,93,Samples,Run2,Guyana,Guyana,0.666666666666667
G9L0107,396,Samples,Run2,Guyana,Guyana,0.645833333333333
G9L0117,391,Samples,Run2,Guyana,Guyana,0.598958333333333
G9L0120,397,Samples,Run2,Guyana,Guyana,0.697916666666667
G9L0127,387,Samples,Run2,Guyana,Guyana,0.78125
G9L0140,395,Samples,Run2,Guyana,Guyana,0.567708333333333
HRP0302,382,Samples,Run2,Venezuela,Venezuela,0.90625
HRP0305,384,Samples,Run2,Venezuela,Venezuela,0.979166666666667
HRP0352,355,Samples,Run2,Venezuela,Venezuela,0.614583333333333
HRP0353,356,Samples,Run2,Venezuela,Venezuela,0.848958333333333
HRP0354,357,Samples,Run2,Venezuela,Venezuela,0.864583333333333
HRP0355,358,Samples,Run2,Venezuela,Venezuela,0.927083333333333
HRP0356,359,Samples,Run2,Venezuela,Venezuela,0.994791666666667
HRP0357,360,Samples,Run2,Venezuela,Venezuela,0.963541666666667
HRP0358,361,Samples,Run2,Venezuela,Venezuela,0.984375
HRP0359,362,Samples,Run2,Venezuela,Venezuela,0.994791666666667
HRP0360,363,Samples,Run2,Venezuela,Venezuela,0.822916666666667
HRP0361,364,Samples,Run2,Venezuela,Venezuela,0.989583333333333
HRP0362,365,Samples,Run2,Venezuela,Venezuela,0.875
HRP0363,366,Samples,Run2,Venezuela,Venezuela,0.901041666666667
HRP0364,367,Samples,Run2,Venezuela,Venezuela,0.989583333333333
HRP0365,368,Samples,Run2,Venezuela,Venezuela,0.84375
HRP0366,369,Samples,Run2,Venezuela,Venezuela,0.536458333333333
HRP0367,370,Samples,Run2,Venezuela,Venezuela,0.984375
HRP0369,372,Samples,Run2,Venezuela,Venezuela,0.979166666666667
HRP0370,373,Samples,Run2,Venezuela,Venezuela,0.953125
HRP0372,375,Samples,Run2,Venezuela,Venezuela,0.90625
HRP0373,376,Samples,Run2,Venezuela,Venezuela,0.895833333333333
HRP0375,379,Samples,Run2,Venezuela,Venezuela,0.942708333333333
HRP0376,380,Samples,Run2,Venezuela,Venezuela,0.864583333333333
