Sample_id,Date_of_Collection,Month_of_Collection,Quarter_of_Collection,Year_of_Collection,Subnational_level0,Subnational_level1,Subnational_level2,Longitude,Latitude
ID00136,10/11/21,2021-10,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00137,10/13/21,2021-10,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00138,10/15/21,2021-10,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00139,10/20/21,2021-10,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00140,10/20/21,2021-10,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00141,10/20/21,2021-10,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00142,10/20/21,2021-10,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00143,10/20/21,2021-10,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00144,10/21/21,2021-10,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00145,10/28/21,2021-10,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00146,11/8/21,2021-11,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00147,11/11/21,2021-11,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00148,11/19/21,2021-11,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00149,11/22/21,2021-11,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00150,11/29/21,2021-11,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00151,12/16/21,2021-12,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00152,12/23/21,2021-12,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00153,12/22/21,2021-12,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00154,12/23/21,2021-12,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00155,12/30/21,2021-12,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00156,1/7/22,2022-01,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00157,1/12/22,2022-01,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00158,1/18/22,2022-01,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00159,1/18/22,2022-01,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00160,1/20/22,2022-01,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00161,1/18/22,2022-01,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00162,1/24/22,2022-01,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00163,1/22/22,2022-01,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00164,12/14/21,2021-12,2021-Q4,2021,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00165,2/14/22,2022-02,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00166,2/28/22,2022-02,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00167,3/2/22,2022-03,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00168,3/8/22,2022-03,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00169,3/14/22,2022-03,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00170,3/17/22,2022-03,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00171,3/18/22,2022-03,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00172,3/30/22,2022-03,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00173,3/29/22,2022-03,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00174,5/6/22,2022-05,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00175,4/12/22,2022-04,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00176,4/12/22,2022-04,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00177,4/20/22,2022-04,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00178,5/3/22,2022-05,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00179,5/4/22,2022-05,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00180,3/4/22,2022-03,2022-Q1,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00181,5/6/22,2022-05,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00182,5/16/22,2022-05,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00183,5/18/22,2022-05,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00184,5/26/22,2022-05,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00185,5/27/22,2022-05,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00186,5/30/22,2022-05,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00187,5/31/22,2022-05,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00188,5/31/22,2022-05,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00189,6/1/22,2022-06,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00190,6/1/22,2022-06,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00191,6/3/22,2022-06,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00192,6/7/22,2022-06,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00193,6/8/22,2022-06,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00194,6/22/22,2022-06,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00195,6/21/22,2022-06,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00196,5/25/22,2022-05,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00197,6/17/22,2022-06,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00198,5/25/22,2022-05,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00199,6/28/22,2022-06,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00200,6/30/22,2022-06,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00201,6/30/22,2022-06,2022-Q2,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00202,7/1/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00203,7/1/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00204,7/5/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00205,7/5/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00206,7/6/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00207,7/12/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00208,7/12/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00209,7/11/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00210,7/19/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00211,7/26/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
ID00212,7/26/22,2022-07,2022-Q3,2022,Region 1,Department 2,Municipality 2,-77.03116,3.8801
